moca_id,tribe,moca_xp,wallet,week
1866,connector,56.0,0x03351328843940bb13b014d3acf3debf9fa75525,5
4927,connector,56.0,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,5
4928,connector,56.0,0x05d7c09a4d0cf7658b3507646f62e38b2dac8958,5
2527,connector,56.0,0x090f66847a4dfa167046627150ac9b855dce4119,5
2528,connector,56.0,0x090f66847a4dfa167046627150ac9b855dce4119,5
2575,connector,70.4,0x09ae2739278898ee62a7f6b5721fba993bcd8777,5
3226,connector,70.4,0x09ae2739278898ee62a7f6b5721fba993bcd8777,5
4273,connector,70.4,0x09ae2739278898ee62a7f6b5721fba993bcd8777,5
5262,connector,70.4,0x09ae2739278898ee62a7f6b5721fba993bcd8777,5
5571,connector,70.4,0x09ae2739278898ee62a7f6b5721fba993bcd8777,5
4513,connector,70.4,0x0afd3629f352560dc5b01d86b68ace1a63bd841c,5
3454,connector,58.4,0x0e855e3f407d65a21fee7107b7e8b4717476991d,5
4712,connector,33.6,0x11610d0bf661d3ccbb9493cf23184f68ecfe4783,5
4821,connector,70.4,0x126b4b8a5fb31fb1ec299981fa81666c152cb615,5
1675,connector,42.4,0x12d47a4931a8e6f6e242b023b23f993570885605,5
1676,connector,42.4,0x12d47a4931a8e6f6e242b023b23f993570885605,5
3633,connector,70.4,0x1604ae1c62d1302bde8ad8613562958973ad39da,5
5620,connector,58.4,0x1a693f31b7a3ae8269a4cacc35f208a06a96df42,5
4195,connector,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
4196,connector,54.4,0x1c169e10dd4bbbc387b970a76839c21f169b7706,5
5102,connector,40.0,0x202c05cf01d9db2b44b50ba7827a001755305591,5
6131,connector,56.0,0x17a78ba19bb7968c7678315c7f8682264ca4fe49,5
1419,connector,56.0,0x2684da0d2e5c1d1dfeaa8048b4dd7400b4605bf7,5
5091,connector,58.4,0x28ce5479a8fc3194ff1f24478e5f733a4b8afd39,5
2561,connector,56.0,0xbaad47fa2705cd8b3167bb2a551e71238c080cb8,5
2562,connector,56.0,0xbaad47fa2705cd8b3167bb2a551e71238c080cb8,5
3663,connector,58.4,0x0c41684841245296da6c5dfca8e9cd0bd47181d1,5
3679,connector,42.4,0x3621f96aea9904da476727550ee205ca4c2f779c,5
1214,connector,48.0,0xf57f7876d07adf68b2d33a4e033d80cb3543d6df,5
3459,connector,58.4,0x3b0667ab576a6aceb3add15c98db84f51c20e370,5
1657,connector,40.0,0x3fcfbbdbaf2d42c3e36bb7eb621e9675abd4149b,5
6385,connector,70.4,0x410a20d45edbb4415a5981be8d559676b8100e57,5
1708,connector,54.4,0x45c9235209a06bf8c8596c00b2934cf5aade091e,5
2666,connector,56.0,0x4698917d0f308658270faf65973a9872b99215f2,5
5548,connector,70.4,0x4d1ccbe9f4cc1d83c1e7da10c9673f7f8be133f9,5
3783,connector,70.4,0x50c03dd5c0e51aa17f5860b17eb56a7f93f17f86,5
2518,connector,8.0,0x515f569a8530b3bdb73fb8bd69f4bc845435e04a,5
5264,connector,56.0,0x51c6f394372be78a6264f8fe784cde83c8a86530,5
5265,connector,56.0,0x51c6f394372be78a6264f8fe784cde83c8a86530,5
4911,connector,58.4,0x31546c09ce57628f98d5a4b78b164207595baf6c,5
5915,connector,58.4,0x55be9cb776a3d4722b9da3b833c247a82ce6d151,5
5916,connector,58.4,0x55be9cb776a3d4722b9da3b833c247a82ce6d151,5
6573,connector,70.4,0x5a1c6b926209a865718d7be43055ab747fdafd57,5
1442,connector,54.4,0x5c5d19faa967ba5d3a0fc919af27a462122ff8a1,5
4309,connector,40.0,0x622b02af44e1ab16ee5fffdb61b4e2bd1cebd9e4,5
4206,connector,41.6,0x3755682324ef3b485ba375ca4967cff58ef94965,5
3772,connector,56.0,0x70a1d72a5d8b197e9e8825ab193fb638ed08c8c8,5
6362,connector,68.0,0x7728f3d2416dc0c6b363362301ada72e98ff1956,5
6398,connector,68.0,0x7728f3d2416dc0c6b363362301ada72e98ff1956,5
6409,connector,68.0,0x7728f3d2416dc0c6b363362301ada72e98ff1956,5
4220,connector,70.4,0x79727408e01d344b5ffd583f3f0dd734a40222e3,5
5732,connector,70.4,0x79727408e01d344b5ffd583f3f0dd734a40222e3,5
2840,connector,57.6,0x7cdbbcc3bf7dfa8db52f9fef414865d41ff50bad,5
4599,connector,56.0,0xe4555943a42d7f00358dc717dba52499ceb165a6,5
5597,connector,56.0,0x8118547d2f70f36e86c92aeba3c3fac4518d313c,5
2977,connector,56.0,0x811f03743616a9d0af958956357a1143676627d4,5
2978,connector,56.0,0x811f03743616a9d0af958956357a1143676627d4,5
2821,connector,42.4,0x835c05c64bd95ba68de9cd16ad332a607c7e90bc,5
2454,connector,63.2,0x836a51a6d849e6b1a2161c2329a71c7574b35d5c,5
2455,connector,63.2,0x836a51a6d849e6b1a2161c2329a71c7574b35d5c,5
1527,connector,58.4,0x837b36f5b8f5adc47d541fb5307088abdb9a7a09,5
2297,connector,48.0,0x8450e1397c3938ec43cb646dbae760273372001b,5
1192,connector,24.0,0xd951b004893474e20bd759da56ac08ace4aa871d,5
4137,connector,54.4,0x87f4c743c2a1323a88855f2db61ec1eea651ca2e,5
6083,connector,70.4,0x87f4c743c2a1323a88855f2db61ec1eea651ca2e,5
3809,connector,54.4,0x89a80a410b1a0fcc91eda1fc8a4f7245ca183b6f,5
4203,connector,56.0,0x8d9f9458ce322b762663d540772ba4e8417cbd87,5
5189,connector,56.0,0x8fb8e00c7f18c9825ef62497978fe35a2748aaf3,5
1444,connector,70.4,0x957a846b8d884230fedfd035eab11db6a2c02165,5
2429,connector,70.4,0x95b61beb8bb3f8b473c420f3355762808f09d828,5
5366,connector,56.0,0x96fc7958f554c723b5b7535329bec55a91ebfda3,5
5367,connector,56.0,0x96fc7958f554c723b5b7535329bec55a91ebfda3,5
4822,connector,70.4,0x973957d96657521ea8c00b024167944c6e7031f3,5
4773,connector,54.4,0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,5
3144,connector,54.4,0x522562cbdb0ecfdbb331f5e753a0300b993618c7,5
1355,connector,40.0,0x9bc6a425d0d5fea6005400052ee679b30b1e2dee,5
1356,connector,40.0,0x9bc6a425d0d5fea6005400052ee679b30b1e2dee,5
1740,connector,63.2,0x554d0c1f3e79b80fa41f9be17d6406d934f76427,5
2914,connector,63.2,0x554d0c1f3e79b80fa41f9be17d6406d934f76427,5
5008,connector,56.0,0xa9bb60ca41a7483caf11c1c49b488b88dfc5bc37,5
5009,connector,56.0,0xa9bb60ca41a7483caf11c1c49b488b88dfc5bc37,5
2216,connector,62.4,0xaa87190076675da8d3496da24b0c3bbfa1e56396,5
1443,connector,24.0,0xb0e8af8ddc8480789b37f90689c5bbba2139804c,5
1573,connector,60.8,0xb2e7f7044a94dd0f9dca56f2e402355d0a0d60e4,5
4104,connector,42.4,0xb4ad1b4ab790c5ef71698a73febdd6421dd25261,5
5763,connector,70.4,0xb88c8ee3bd560bbd68ad80e0cdb9db8c10679889,5
2492,connector,33.6,0xba943f9a82e378eac5c33bbc92263e82ee64f50b,5
1509,connector,54.4,0x92373997819b0e4529be7988eea4bedd4d276f74,5
8563,connector,40.0,0xbedfaef8548f017f5fecd42ebb3c147b9e1efa2c,5
5288,connector,56.0,0xc23a60d800279d338e0a73be5f1a639ff2f492a0,5
5289,connector,56.0,0xc23a60d800279d338e0a73be5f1a639ff2f492a0,5
3808,connector,31.2,0xc2ba2b009a9a8f12fdabed184412120fb072d620,5
6740,connector,63.2,0xc3802dc1432a8f731946c9ebd73f1281a7e23212,5
3188,connector,54.4,0x8b2abf9618cb3899b8459de211eadf53598245ad,5
3549,connector,54.4,0x8b2abf9618cb3899b8459de211eadf53598245ad,5
3749,connector,70.4,0xa28ef9ab58ae6d14c23f8855852346c9510e49a3,5
3750,connector,70.4,0xa28ef9ab58ae6d14c23f8855852346c9510e49a3,5
4534,connector,70.4,0xa28ef9ab58ae6d14c23f8855852346c9510e49a3,5
995,connector,70.4,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,5
1252,connector,70.4,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,5
4600,connector,38.4,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,5
5221,connector,54.4,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,5
6018,connector,54.4,0xd1e03e39b374de47c485f16ad6b9b5474c0ee013,5
5241,connector,56.0,0xd2f0ecf976ba28259a42ff7b38c8279453e21f2b,5
5242,connector,56.0,0xd2f0ecf976ba28259a42ff7b38c8279453e21f2b,5
7337,connector,40.0,0xd3bd21d0b0ff09e07957e37e75625edc3316bb24,5
3894,connector,16.0,0x9f1192009D492E3739F40FD461612659109e0178,5
2529,connector,70.4,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5
2530,connector,70.4,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5
2971,connector,70.4,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5
3441,connector,70.4,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5
3499,connector,70.4,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5
3592,connector,70.4,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5
4347,connector,70.4,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5
4348,connector,70.4,0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,5
2838,connector,70.4,0xdaf8313d766a62b5271a446b7e03d45ffb000490,5
4476,connector,70.4,0xdba6550fad8b525c27220c945c5f0b32813e2663,5
3004,connector,70.4,0xdbd7d362da4ff94b22778c51ed6ff24c584c4899,5
3196,connector,56.0,0x86295b286571619e4a357ee0a192bb20ec17a633,5
3197,connector,56.0,0x86295b286571619e4a357ee0a192bb20ec17a633,5
2093,connector,58.4,0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,5
2621,connector,58.4,0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,5
2622,connector,58.4,0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,5
3397,connector,56.0,0xe36c3e5ade45bb09c0ff17a23d241a956f7da962,5
3398,connector,56.0,0xe36c3e5ade45bb09c0ff17a23d241a956f7da962,5
4627,connector,70.4,0xe46dd0d3163a96cabf7555401db4ad5e952b914b,5
5608,connector,70.4,0xe46dd0d3163a96cabf7555401db4ad5e952b914b,5
5094,connector,58.4,0x19c47b6bf29cab375a11b0138dba57e0e484fbdc,5
3550,connector,44.0,0xe488fbac4a5c9b35325343a1c56723450e427d69,5
4512,connector,56.0,0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,5
5450,connector,56.0,0xef5b0873722b25851cd7b1b5ad8b15a50847e72c,5
5451,connector,56.0,0xef5b0873722b25851cd7b1b5ad8b15a50847e72c,5
2032,connector,56.0,0xf30af00022a1f415f736c981903fb1a67f6a7796,5
2146,connector,54.4,0x947a518695f63096650e7bfd421fd9be8b38be3a,5
4145,connector,70.4,0x947a518695f63096650e7bfd421fd9be8b38be3a,5
4146,connector,70.4,0x947a518695f63096650e7bfd421fd9be8b38be3a,5
5318,connector,56.0,0xf91689a8581b9efd80a1b273ec730828f7ea0628,5
5319,connector,56.0,0xf91689a8581b9efd80a1b273ec730828f7ea0628,5
4219,connector,70.4,0xfa261c49b440456944fbb019cdc95f2416883a99,5
